No,開催日,イベント名,会場
85,2025/08/03,TOKYO IDOL FESTIVAL 2025 supported by にしたんクリニック,TIF会場スカイステージ
86,2025/08/06,『gradation』miim ver.  追加リリースイベント,タワーレコード渋谷店 5Fイベントスペース
87,2025/08/07,MARQUEE祭×もしもの世界 Vol.3,duo Music Exchange
88,2025/08/09,IDOL SUMMER JUNGLE,お台場R地区
89,2025/08/10,IDOL SUMMER JUNGLE,お台場R地区
90,2025/08/11,8月無銭LIVE,SUPERNOVA KAWASAKI
91,2025/08/13,NEO KASSEN2025,渋谷9会場サーキットイベント
92,2025/08/14,shibuya luisant Vol.38,Spotify O-Crest
93,2025/08/16,アイドル甲子園 in KANDA SQUARE HALL -DAY1-,KANDA SQUARE HALL
94,2025/08/21,MARQUEE祭 Vol.162,Spotify O-WEST
95,2025/08/23,HEROINES SUMMER extra!!!,GARDEN新木場FACTORY
96,2025/08/24,アイドル甲子園 in KANDA SQUARE HALL,KANDA SQUARE HALL
97,2025/08/26,Appare! Presents エンドレスサマー2025,渋谷6会場
98,2025/08/28,超かわ8MANライブ,Veats SHIBUYA
99,2025/08/31,『gradation』miim ver.  追加リリースイベント,タワーレコード渋谷店 B1F CUTUP STUDIO
100,2025/09/02,ふぃくふぇす！vol.17~8人体制ラスト！~,Spotify O-EAST
101,2025/09/06,ッスッゴイライブ,神田スクエアホール
102,2025/09/07,3MAN LIVE,下北沢シャングリラ
103,2025/09/07,アイドル甲子園 in 品川インターシティホール,品川インターシティーホール
104,2025/09/09,衛星とカラテアPresents「超 明星現象 2025」,渋谷 WWW
105,2025/09/10,MARQUEE Fes.,Spotify O-EAST
106,2025/09/13,SPARK 2025 in MAKUHARI,幕張メッセ 国際展示場 SPARKステージ
107,2025/09/14,SPARK 2025 in MAKUHARI,幕張メッセ 国際展示場 BOTANステージ
108,2025/09/15,iLiVE! vol.19,Kanadevia Hall（旧TDCホール）
109,2025/09/17,ハルライズ,duo MUSIC EXCHANGE（オープニング）
110,2025/09/17,ハルライズ,duo MUSIC EXCHANGE
111,2025/09/20,Boosty ファンまつり2025,有明GYM-EX
112,2025/09/21,1st ONEMAN LIVE「ただ、君に咲く。」,Spotify O-WEST
113,2025/09/28,アイドル甲子園  in TACHIKAWA STAGE GARDEN」-DAY2-,立川ステージガーデン
114,2025/10/02,HEROINES FES~渋谷サーキット~,Spotify O-WEST
115,2025/10/04,アイドル甲子園  in KANDA SQUARE HALL,KANDA SQUARE HALL
116,2025/10/05,来海とい生誕祭2025,代官山UNIT
117,2025/10/08,POLAROID mini extra,WOMBLIVE
118,2025/10/11,UP-T presents かがやきフェス2025,金沢サーキット EightHall
119,2025/10/12,UP-T presents かがやきフェス2025,金沢サーキット REDSUN
120,2025/10/12,UP-T presents かがやきフェス2025,金沢サーキット 金沢AZ
121,2025/10/18,LUNA PARADE,CLUB CITTA'
122,2025/10/19,【Beat Rush -Vatious-】,KANDA SQUARE HALL
123,2025/10/21,"AOAO主催サーキットフェス  ""ブルーセッション EX""",渋谷サーキット
124,2025/10/25,芹沢心色生誕祭2025,渋谷音楽堂
125,2025/10/26,LEADING Circuit HELLOWEEN,duoMUSIC EXCHANGE
126,2025/10/27,shibuya luisant Vol.41,Spotify O-EAST
127,2025/10/29,たかねこフェス vol.5〜ハロウィンSP〜,豊洲PIT
128,2025/11/01,ッスッゴイライブ 〜After Halloween SP〜,品川インターシティホール
129,2025/11/02,11月フリーライブ,ダイバーシティ東京プラザ2Fフェスティバル広場
130,2025/11/03,@ JAM×アイドル横丁コラボフェス 「秋葉原アイドルサーキット vol.5」,秋葉原サーキット
131,2025/11/08,ハルノカエリミチ千葉公演,柏PALOOZA
132,2025/11/09,ハルノカエリミチ茨城公演,つくばPARKDINER
133,2025/11/15,LUNA PARADE,Spotify O-WEST
134,2025/11/18,MARQUEE Fes.,Spotify O-EAST
135,2025/11/22,ハルノカエリミチ佐賀公演,佐賀GEILS
136,2025/11/23,MAGICAL SESSION SP DAY1,BEAT STATION
137,2025/11/23,MAGICAL MAGICAL MAGICAL in Buddy up！-NIGHT-,Buddy up！
138,2025/11/24,MAGICAL MAGICAL MAGICAL in 明治安⽥ホール福岡,明治安田ホール福岡
139,2025/11/24,MAGICAL SESSION SP DAY2,明治安田ホール福岡
140,2025/11/25,MAGICAL SESSION AFTER PARTY,福岡トヨタホールスカラエスパシオ
141,2025/11/27,MARQUEE祭 Vol.165,Spotify O-WEST
142,2025/11/29,SPA!FES 2025,duoMUSIC EXCHANGE
143,2025/11/30,TIF学園 「学園祭」秋,ベルサール渋谷ガーデン
